


tenure stats : 常勤 (任期なし)=242,常勤 (任期あり)=538,非常勤 (任期あり)=253,Full-time (Nontenured)=109,Part-time (Nontenured)=11,常勤 (テニュアトラック)=16,Full-time (Tenured)=1




==== TENURE  常勤 (任期なし)  ===== 
九州大学  文学部門仏文学講座 准教授、又は講師１名  人文学 - 文学  常勤 (任期なし)  2021年03月11日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募 (公募No.2021T-97)量子セキュア技術のアプリケーション開発支援及び実用化活動に関する業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募 (公募No.2021T-102)ナノ光構造を用いた半導体光デバイスの研究開発及びその支援業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募(公募No.2021T-174)CPSエミュレーションテストベッドへの新規技術の導入とその運用  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-101)酸化ガリウムデバイスの研究開発（デバイスプロセス）  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期一般職公募 (公募No.2021A-176)自動翻訳技術の研究成果の社会展開の促進  工学 - 全て -- 情報学 - 全て -- 総合理工 - 全て  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-192)イオントラップを用いた量子ネットワークに関する研究開発  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募 (公募No.2021T-8)複数光時計による周波数校正データの収集及び統合利用に関する開発業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募 (公募No.2021T-173)クラウドサービスおよびクラウドシステムの開発・検証・運用（２）  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
水処理技術会社  [非公開]　契約社員　＜21年4月入社＞水質分析薬品の分析（HPLC） 正社員登用実績あり  医歯薬学 - 全て -- 農学 - 全て -- 生物学 - 全て  常勤 (任期あり)  2021年06月30日
福岡大学  博士研究員の公募（福岡大学医学部　白澤　専二　研究室）  医歯薬学 - 全て -- 生物学 - 全て  常勤 (任期あり)  2021年02月28日
公益財団法人神戸医療産業都市推進機構  研究補助員(フルタイム)の募集（老化機構研究部）　  総合生物 - 全て -- 生物学 - 生物科学 -- 医歯薬学 - 基礎医学  常勤 (任期あり)  2021年02月26日
淑徳大学  淑徳大学看護栄養学部栄養学科　助手の公募  複合領域 - 生活科学  常勤 (任期あり)  2021年02月08日
国立研究開発法人理化学研究所  研究員募集（BCI2001）（脳コネクトミクスイメージング研究チーム）  生物学 - 全て -- 医歯薬学 - 医科学  常勤 (任期あり)  2022年01月27日
スポーツ庁  スポーツ庁職員の公募（広報に関する業務）  その他 - 行政（広報） -- 複合領域 - 健康・スポーツ科学 -- 情報学 - マスコミュニケーション  常勤 (任期あり)  2021年02月08日
神戸大学  特命助教または特命准教授の公募（生物分野）  総合生物 - 全て  常勤 (任期あり)  2021年03月30日
九州大学  九州大学国際戦略企画室 留学コーディネーター(学術研究員)の公募  その他 - 留学コーディネーター業務  常勤 (任期あり)  2021年03月02日
情報・システム研究機構国立情報学研究所  国立情報学研究所「学術認証基盤の推進」に係る 特任技術専門員(特定有期雇用職員)募集  情報学 - 計算基盤  常勤 (任期あり)  2021年03月31日
情報・システム研究機構国立情報学研究所  国立情報学研究所 学術基盤推進部学術基盤課セキュリティ担当（所内LAN/CSIRT担当） 特任技術専門員（特定有期雇用職員）募集  情報学 - 計算基盤  常勤 (任期あり)  2021年03月31日
国立研究開発法人国立循環器病研究センター  創薬オミックス解析センター　オミックス解析推進上級研究員　公募  医歯薬学 - 基礎医学 -- 総合生物 - ゲノム科学 -- 医歯薬学 - 内科系臨床医学  常勤 (任期あり)  2021年02月19日
藤田医科大学  研究補助員募集（抗菌薬開発研究グループ）  医歯薬学 - 基礎医学 -- 医歯薬学 - 薬学 -- 生物学 - 生物科学  常勤 (任期あり)  2021年02月28日
国立研究開発法人理化学研究所  上級研究員、研究員もしくは特別研究員募集 （IMS405-2003）（消化管恒常性研究チーム）  生物学 - 全て -- 医歯薬学 - 医科学  常勤 (任期あり)  2022年01月27日
神戸医療福祉大学  神戸医療福祉大学　専任教員（スポーツ科学分野）の募集  複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年02月19日
名古屋大学  名古屋大学院創薬科学研究科細胞薬効解析学分野　助教(テニュアトラック)の公募について  医歯薬学 - 薬学 -- 総合生物 - 神経科学 -- 生物学 - 生物科学  常勤 (任期あり)  2021年02月22日
京都大学  総務部広報課 国際広報室 特定職員（特定有期雇用職員）公募  その他 - 科学コミュニケーション  常勤 (任期あり)  2021年02月19日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募(公募No.2021R-188)脳情報科学の倫理的・法的・社会的課題（ELSI）に関する研究  総合生物 - 神経科学 -- 情報学 - 人間情報学 -- 複合領域 - 脳科学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募(公募No.2021R-190)古典・非古典の磁気スピン原理に基づくアルゴリズム・回路・理論の開発  総合生物 - 神経科学 -- 情報学 - 人間情報学 -- 複合領域 - 脳科学  常勤 (任期あり)  2021年02月17日
東京経営短期大学  教員の公募（教授、准教授、講師（経済学分野・情報系分野・キャリア教育分野））について  社会科学 - 経営学 -- 社会科学 - 会計学  常勤 (任期あり)  2021年02月28日
地方独立行政法人神奈川県立産業技術総合研究所  【期限延長】任期付研究員の募集（勤務場所 東京工業大学・化学生命科学研究所）  化学 - 複合化学 -- 化学 - 材料化学 -- 総合理工 - ナノ・マイクロ科学  常勤 (任期あり)  2021年02月28日
地方独立行政法人神奈川県立産業技術総合研究所  【期限延長】任期付研究員の募集（勤務場所 横浜国立大学工学研究院）  総合理工 - 応用物理学 -- 数物系科学 - 物理学 -- 工学 - 電気電子工学  常勤 (任期あり)  2021年02月28日
九州大学  国立大学法人九州大学　広報本部サイエンスコミュニケーター（学術推進職）＜人文社会科学系＞  総合人文社会 - 全て -- 社会科学 - 全て -- その他 - 全て  常勤 (任期あり)  2021年02月03日
国立保健医療科学院  生活環境研究部（建築・施設管理研究領域）主任研究官（任期付）の公募  工学 - 建築学  常勤 (任期あり)  2021年02月08日
東筑紫短期大学  教員の公募（介護福祉士養成科目〔社会の理解、生活支援技術、介護の基本、介護総合演習、介護実習 等〕）  社会科学 - 介護福祉士養成 -- その他 - 介護福祉士養成 -- 医歯薬学 - 介護福祉士養成  常勤 (任期あり)  2021年02月19日
イーター国際核融合エネルギー機構  イーター国際核融合エネルギー機構職員（専門職員:2名IO0581他）の公募  工学 - 全て -- 数物系科学 - 全て -- 総合理工 - 全て  常勤 (任期あり)  2021年03月07日
八戸学院大学短期大学部  八戸学院大学短期大学部介護福祉学科教授、准教授、講師または助教  社会科学 - 社会学  常勤 (任期あり)  2021年02月26日
東海学院大学  常勤教員（教授、准教授、専任講師、助教）の公募（専門分野 教育の基礎理論）  社会科学 - 教育学 -- 社会科学 - 心理学 -- 社会科学 - 教育相談、生徒指導・進路指導  常勤 (任期あり)  2021年02月15日
名古屋大学  名古屋大学 特任助教または研究員の公募（熱物性計測）  工学 - 機械工学 -- 総合理工 - ナノ・マイクロ科学 -- 工学 - 総合工学  常勤 (任期あり)  2021年02月28日
名古屋大学  名古屋大学　未来材料・システム研究所 附属未来エレクトロニクス集積研究センターシステム応用部　研究員の公募  工学 - 電気電子工学  常勤 (任期あり)  2021年03月01日
群馬大学  教授又は准教授又は講師の公募(共同教育学部英語教育講座)  社会科学 - 教育学 -- 人文学 - 言語学 -- 複合領域 - 科学教育・教育工学  常勤 (任期あり)  2021年05月07日
東京大学  東京大学理学系研究科付属フォトンサイエンス研究機構　特任教授公募  数物系科学 - 物理学  常勤 (任期あり)  2021年02月24日
関西国際大学  教員の公募について（国際コミュニケーション学部）　【英語学・英語教育】（教授、准教授または講師）  人文学 - 言語学 -- 社会科学 - 教育学  常勤 (任期あり)  2021年02月18日
専門学校九州テクノカレッジ  常勤教員（情報系）の公募  情報学 - 全て -- 工学 - 全て -- 総合理工 - 全て  常勤 (任期あり)  2021年02月19日
名古屋大学  名古屋大学施設・環境計画推進室員公募要項  工学 - 建築学  常勤 (任期あり)  2021年02月12日
